Code_Site,Nom_Site,category_id,Sports,start_date,end_date,latitude,longitude,point_geo
ALX,Pont Alexandre III,venue-olympic,"Cyclisme sur route - arrivÃ©e Contre-la-montre (CRD), Natation marathon (OWS), Triathlon (TRI)",2024-07-27,2024-08-09,48.8637,2.3134,"48.8637, 2.3134"
BCY,Arena Bercy,venue-olympic,"Basketball (BKB), Gymnastique artistique (GAR), Gymnastique trampoline (GTR)",2024-07-27,2024-08-11,48.83863,2.378597,"48.83863, 2.378597"
CDM,Arena Champ de Mars,venue-olympic,"Judo (JUD), Lutte (WRE)",2024-07-27,2024-08-11,48.8531,2.30252,"48.8531, 2.30252"
CPL,Arena Porte de la Chapelle,venue-olympic,"Badminton (BDM), Gymnastique rythmique (GRY)",2024-07-27,2024-08-10,48.8997292,2.3605141,"48.8997292, 2.3605141"
CPL,Arena Porte de la Chapelle,venue-paralympic,"Para badminton (PBDM), Para HaltÃ©rophilie (PPWL)",2024-08-29,2024-09-08,48.8997292,2.3605141,"48.8997292, 2.3605141"
CSB,Clichy-sous-Bois,venue-paralympic,Para cyclisme sur route (PCRD),2024-09-04,2024-09-07,48.906345,2.553544,"48.906345, 2.553544"
CTX,Centre national de tir de ChÃ¢teauroux,venue-paralympic,Para Tir Sportif (PSHO),2024-08-30,2024-09-05,46.8157,1.7582,"46.8157, 1.7582"
DEF,Paris La DÃ©fense Arena,venue-paralympic,Para Natation (PSWM),2024-08-29,2024-09-07,48.8954,2.2294,"48.8954, 2.2294"
EIF,Stade Tour Eiffel,venue-paralympic,CÃ©cifoot (PFBB),2024-09-01,2024-09-07,48.85613,2.2978,"48.85613, 2.2978"
GRP,Grand Palais,venue-olympic,"Escrime (FEN), Taekwondo (TKW)",2024-07-27,2024-08-10,48.86616355,2.3125474,"48.86616355, 2.3125474"
HDV,HÃ´tel de Ville,venue-olympic,AthlÃ©tisme - dÃ©part Marathon (ATM),2024-08-10,2024-08-11,48.8563881,2.35222203,"48.8563881, 2.35222203"
MAM,Marina de Marseille,venue-olympic,Voile (SAL),2024-07-28,2024-08-08,43.2661,5.3678,"43.2661, 5.3678"
NAN,Stade de la Beaujoire,venue-olympic,Football (FBL),2024-07-24,2024-08-08,47.25593494,-1.52469927,"47.25593494, -1.52469927"
NPA,Arena Paris Nord,venue-olympic,"Boxe (BOX), Pentathlon moderne (MDN)",2024-07-27,2024-08-08,48.9721,2.5149,"48.9721, 2.5149"
NPA,Arena Paris Nord,venue-paralympic,Volleyball assis (PVBS),2024-08-29,2024-09-07,48.9721,2.5149,"48.9721, 2.5149"
PDP,Parc des Princes,venue-olympic,Football (FBL),2024-07-24,2024-08-10,48.84156974,2.253048697,"48.84156974, 2.253048697"
RGA,Stade Roland Garros,venue-paralympic,Tennis fauteuil (PWTE),2024-08-30,2024-09-07,48.845968,2.253522,"48.845968, 2.253522"
RGA,Stade Roland Garros,venue-olympic,"Tennis (TEN), Boxe (BOX)",2024-07-27,2024-08-10,48.845968,2.253522,"48.845968, 2.253522"
SP1,Arena Paris Sud 1,venue-olympic,Volley-ball (VVO),2024-07-27,2024-08-11,48.832968,2.2840069,"48.832968, 2.2840069"
SP1,Arena Paris Sud 1,venue-paralympic,Boccia (PBOC),2024-08-29,2024-09-05,48.832968,2.2840069,"48.832968, 2.2840069"
TAH,Tahiti Teahupo'o,venue-olympic,Surf (SRF),2024-07-27,2024-07-30,-17.86693,-149.25208,"-17.86693, -149.25208"
VE1,VÃ©lodrome National de Saint-Quentin-en-Yvelines,venue-paralympic,Para Cyclisme sur piste (PCTR),2024-08-29,2024-09-01,48.78800979,2.03498269,"48.78800979, 2.03498269"
VER,ChÃ¢teau de Versailles,venue-olympic,"Sports Ã©questres - dressage (EQD), Sports Ã©questres - concours complet (EQE), Sports Ã©questres - saut d'obstacles (EQJ), Pentathlon moderne (MPN)",2024-07-27,2024-08-11,48.81432266,2.08452588,"48.81432266, 2.08452588"
VER,ChÃ¢teau de Versailles,venue-paralympic,Para Equitation (PEQU),2024-09-03,2024-09-07,48.81432266,2.08452588,"48.81432266, 2.08452588"
VN1,Stade nautique de Vaires-sur-Marne - bassin d'eaux calmes,venue-paralympic,"Para Aviron (PROW), Para CanoÃ« (PCSP)",2024-08-30,2024-09-08,48.8623,2.6348,"48.8623, 2.6348"
